itemId,2020-01,2020-02,2020-03,2020-04,2020-05,2020-06,2020-07,2020-08,2020-09,2020-10,2020-11,2020-12,2021-01,2021-02,2021-03,2021-04,2021-05,2021-06
4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,95,190,90,0
8,0,0,0,0,0,0,0,0,0,0,0,0,27,17,15,15,53,0
9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0
19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42,108,84,0
20,0,0,0,0,0,0,0,8,29,30,48,62,69,3,0,0,2,0
26,0,0,0,0,0,0,0,0,0,84,82,55,74,92,53,26,8,0
33,0,0,0,0,0,0,0,0,0,0,0,0,169,166,94,75,248,0
40,0,0,0,0,0,0,0,0,0,0,0,0,0,23,25,24,29,0
51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,63,60,46,0
54,0,0,0,0,0,0,0,0,0,0,0,0,140,68,95,166,94,0
64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,158,200,0
67,0,0,0,0,0,0,0,0,0,0,109,46,23,16,23,13,13,0
69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,82,46,0
70,0,0,0,0,0,0,0,0,0,0,0,0,0,160,96,34,31,0
82,0,0,0,0,0,0,0,2,10,3,0,0,0,1,0,8,31,0
93,0,0,0,0,0,0,0,0,0,0,0,0,60,164,201,235,309,0
95,0,0,0,0,0,0,0,0,145,48,35,81,90,19,37,9,9,0
105,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,26,25,0
107,0,0,0,0,0,0,0,0,0,0,0,0,0,232,111,368,1254,0
112,0,0,96,109,73,88,102,95,82,32,38,25,23,3,4,0,1,0
127,0,0,0,0,0,0,0,0,0,0,0,0,0,21,102,51,45,0
150,0,0,0,0,0,0,0,0,0,52,25,57,18,1,0,0,0,0
158,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,82,149,0
160,0,0,0,0,0,0,0,0,0,0,0,47,17,28,92,60,37,0
167,0,0,0,0,0,0,0,0,0,0,0,0,197,131,587,60,150,0
175,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,36,50,0
177,0,0,0,0,0,0,0,0,0,0,22,13,4,5,2,7,4,0
185,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,16,38,0
187,0,0,0,0,0,0,0,0,0,0,0,0,69,30,29,40,179,0
192,25,41,35,32,16,7,9,28,42,28,36,26,22,9,31,91,130,0
196,0,0,0,0,0,0,0,0,0,0,0,278,102,51,26,29,17,0
198,0,0,0,0,0,0,0,0,0,0,0,29,200,90,31,20,4,0
201,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,42,64,0
218,1,6,0,2,1,0,0,0,0,0,0,1,0,1,0,0,20,0
221,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,3,4,0
222,0,3,90,123,62,36,62,47,52,20,43,12,20,42,79,86,55,0
228,0,0,0,0,0,0,0,0,0,13,42,18,14,22,21,26,31,0
239,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0
248,0,0,0,0,0,0,0,0,0,0,0,0,23,9,48,24,22,0
251,0,0,0,0,0,0,0,0,0,0,0,51,19,22,31,15,10,0
252,0,0,0,0,0,0,0,0,0,0,0,7,61,50,240,114,36,0
