item_id,2020-01,2020-02,2020-03,2020-04,2020-05,2020-06,2020-07,2020-08,2020-09,2020-10,2020-11,2020-12,2021-01,2021-02,2021-03,2021-04,2021-05,2021-06
2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
3,0,0,0,0,0,0,0,0,16,22,18,51,49,1,0,0,0,0
4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,95,190,90,0
7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,0,0,0,0,0,0,0,0,0,0,0,0,27,17,15,15,53,0
9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0
10,6,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,3,2,3,4,17,62,12,2,0,0,0,0,0,0,0,0,0,0
13,0,0,0,0,0,0,0,0,0,58,131,33,14,16,0,0,0,0
14,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
16,43,13,2,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,4,6,11,18,12,6,0,0,0,0,0,0,0,0,0,0,0,0
19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42,108,84,0
20,0,0,0,0,0,0,0,8,29,30,48,62,69,3,0,0,2,0
21,0,0,0,0,0,0,0,0,0,0,0,0,0,1,15,6,4,0
24,21,25,8,15,9,3,0,0,0,0,0,0,0,0,0,0,0,0
25,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26,0,0,0,0,0,0,0,0,0,84,82,55,74,92,53,26,8,0
27,3,12,2,5,7,2,0,0,0,0,0,0,0,0,0,0,0,0
28,0,0,0,0,17,16,35,63,82,37,21,5,9,0,0,0,0,0
29,5,0,0,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0
30,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32,0,0,0,0,0,0,0,0,27,37,38,32,20,2,3,0,0,0
33,0,0,0,0,0,0,0,0,0,0,0,0,169,166,94,75,248,0
35,0,15,20,59,36,72,37,28,40,0,0,0,0,0,0,0,0,0
36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,2,1,0
38,12,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
39,0,0,0,0,0,0,0,3,83,9,10,14,4,0,0,0,0,0
40,0,0,0,0,0,0,0,0,0,0,0,0,0,23,25,24,29,0
42,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
43,59,120,213,134,16,10,4,5,0,14,3,14,3,2,0,0,0,0
44,12,2,7,13,2,6,3,2,4,0,0,0,0,0,0,0,0,0
45,10,3,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0
46,0,0,0,0,13,8,5,1,1,0,0,0,0,0,0,0,0,0
47,0,0,0,0,0,0,106,64,2,0,0,0,0,0,0,0,0,0
49,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
50,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,63,60,46,0
52,1,2,0,0,2,0,0,0,0,0,0,0,3,0,0,0,0,0
53,23,11,12,8,8,7,9,3,6,2,0,0,0,0,0,0,0,0
54,0,0,0,0,0,0,0,0,0,0,0,0,140,68,95,166,94,0
55,0,64,67,23,17,15,6,15,36,26,24,38,2,11,1,0,0,0
56,21,19,11,15,6,19,17,20,28,15,14,1,0,0,1,0,0,0
57,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
58,52,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
59,7,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
60,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
62,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
63,0,0,0,0,0,125,38,7,0,0,0,0,0,0,0,0,0,0
64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,158,200,0
65,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
67,0,0,0,0,0,0,0,0,0,0,109,46,23,16,23,13,13,0
68,0,14,8,7,17,41,32,46,30,1,0,0,0,0,0,0,0,0
69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,82,46,0
70,0,0,0,0,0,0,0,0,0,0,0,0,0,160,96,34,31,0
74,0,0,0,0,0,0,0,0,0,0,28,55,67,18,32,12,6,0
75,0,0,0,2,0,2,0,0,0,0,0,1,0,0,0,0,0,0
76,9,17,14,14,4,5,1,0,0,0,0,0,0,0,1,0,0,0
78,0,0,0,0,0,180,178,50,8,0,0,0,0,0,0,0,0,0
79,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
80,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
81,0,0,0,0,27,17,11,8,9,0,0,0,0,0,0,0,0,0
82,0,0,0,0,0,0,0,2,10,3,0,0,0,1,0,8,31,0
83,0,0,0,0,0,0,0,0,0,12,17,7,0,0,1,0,0,0
84,25,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
86,4,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
88,17,17,35,43,12,19,0,1,0,1,0,0,0,0,0,0,0,0
89,0,0,44,74,45,46,8,1,0,1,0,0,0,0,0,0,0,0
90,5,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
91,0,3,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
92,2,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
93,0,0,0,0,0,0,0,0,0,0,0,0,60,164,201,235,309,0
94,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
95,0,0,0,0,0,0,0,0,145,48,35,81,90,19,37,9,9,0
97,12,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
98,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
99,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100,0,37,11,9,1,4,1,6,10,7,3,1,0,3,0,0,0,0
101,0,0,0,47,152,73,131,0,0,0,0,1,0,0,0,0,0,0
102,0,0,0,0,0,0,0,0,0,15,25,44,43,6,4,0,0,0
103,1,2,2,1,4,1,2,0,4,3,0,0,0,0,0,0,0,0
104,0,0,6,6,7,8,4,2,5,0,2,4,4,1,0,1,0,0
105,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,26,25,0
106,29,19,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0
107,0,0,0,0,0,0,0,0,0,0,0,0,0,232,111,368,1254,0
108,0,0,0,0,0,0,0,38,83,27,69,37,21,9,3,0,0,0
109,0,0,0,0,0,0,15,4,16,8,5,8,1,0,0,0,0,0
111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,3,4,0
112,0,0,96,109,73,88,102,95,82,32,38,25,23,3,4,0,1,0
113,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
114,0,0,0,0,0,0,0,19,21,16,13,1,4,0,0,0,0,0
115,0,0,0,22,132,489,49,23,2,0,0,0,1,0,0,0,0,0
116,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,7,0
117,0,0,0,182,70,35,28,30,64,53,12,8,16,5,1,0,0,0
118,31,17,35,20,10,7,9,2,0,0,0,0,0,0,0,0,0,0
119,6,6,1,1,0,1,0,3,0,0,0,0,0,0,0,0,0,0
120,10,5,13,21,14,13,0,0,0,0,0,0,0,0,0,0,0,0
121,0,0,0,0,0,0,0,0,177,155,84,135,49,7,3,1,0,0
123,19,71,79,187,200,168,304,153,65,24,3,0,1,0,1,0,0,0
124,0,0,0,0,0,0,0,0,0,0,9,17,13,0,0,0,0,0
125,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
126,0,0,0,0,0,17,15,19,19,5,2,7,8,0,0,0,0,0
127,0,0,0,0,0,0,0,0,0,0,0,0,0,21,102,51,45,0
128,46,46,207,41,34,2,0,0,0,0,0,0,0,0,0,0,0,0
130,51,10,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0
131,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
132,0,0,0,0,0,0,0,0,0,0,0,173,97,14,4,0,0,0
133,0,0,0,0,0,0,0,0,0,0,158,84,62,13,3,1,0,0
134,0,0,0,0,0,0,0,0,0,20,45,35,46,2,3,0,0,0
135,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
137,38,28,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
138,0,0,0,0,0,0,0,0,0,16,21,13,11,9,1,1,0,0
